	21123	POS
painted	45	POS
spookily	3	POS
subspace	1	POS
animals	228	POS
selick	1	POS
justin	32	POS
behalf	19	POS
NOT_falcon	1	POS
NOT_football	13	POS
inconsistency	1	POS
psyciatrist	1	POS
alignment	1	POS
danni	13	POS
lining	6	POS
ceaseless	2	POS
NOT_shtick	1	POS
toxin	1	POS
rereleased	1	POS
optimal	1	POS
shnieder	1	POS
ambivalence	3	POS
dalmation	1	POS
NOT_mechanism	1	POS
gulping	2	POS
fiorella	2	POS
idiosyncracies	1	POS
imaginitive	1	POS
featherbrained	1	POS
NOT_helps	5	POS
furious	47	POS
NOT_nabakov	1	POS
connie	30	POS
vepsaian	1	POS
NOT_density	1	POS
daytiem	1	POS
lecarr	4	POS
NOT_lesson	7	POS
shantytowns	1	POS
NOT_rally	1	POS
inextricably	1	POS
paso	1	POS
weepy	7	POS
anamorphic	10	POS
pinfall	1	POS
ridge	8	POS
managers	9	POS
lopes	1	POS
fold	11	POS
NOT_shabby	3	POS
brahamin	1	POS
carty	1	POS
sightedness	2	POS
pass	138	POS
munroe	1	POS
lopez	29	POS
folk	59	POS
past	689	POS
intends	16	POS
pressberger	2	POS
NOT_kiddie	3	POS
forbes	25	POS
uriel	1	POS
disaffected	1	POS
ruppert	1	POS
NOT_lightly	8	POS
cologne	2	POS
scuffle	5	POS
earthshaking	1	POS
5yo	1	POS
renown	2	POS
dumland	1	POS
NOT_slack	1	POS
various	349	POS
NOT_stultified	1	POS
footman	1	POS
pogees	1	POS
NOT_trap	5	POS
NOT_wives	2	POS
NOT_freaked	2	POS
NOT_tran	1	POS
recognizing	8	POS
peyton	1	POS
cabs	2	POS
ratchets	2	POS
mitevska	1	POS
donations	4	POS
NOT_combine	3	POS
preposterous	17	POS
fab	9	POS
suggest	175	POS
fad	2	POS
fag	3	POS
fai	9	POS
anchorman	15	POS
actess	1	POS
mink	5	POS
malditos	1	POS
fan	849	POS
fao	1	POS
faq	1	POS
far	1258	POS
fat	76	POS
prissy	5	POS
fav	8	POS
moribund	1	POS
artful	19	POS
NOT_hospitals	2	POS
estevez	1	POS
daredevil	5	POS
NOT_slasher	12	POS
aankhen	4	POS
stitching	2	POS
slingblade	1	POS
nuisance	5	POS
NOT_widely	7	POS
nooooo	2	POS
NOT_remainder	1	POS
novices	3	POS
NOT_murders	9	POS
bolha	1	POS
wilfully	1	POS
intruding	4	POS
demi	1	POS
NOT_dominick	1	POS
stuntman	5	POS
demo	5	POS
macready	16	POS
winfrey	12	POS
NOT_travis	1	POS
mccree	1	POS
metropolis	30	POS
procedural	6	POS
carrer	1	POS
sideshow	4	POS
tavern	8	POS
vampress	1	POS
carrey	95	POS
NOT_perfect	119	POS
venin	1	POS
19th	50	POS
kobal	2	POS
NOT_recognition	13	POS
koban	1	POS
NOT_wowing	1	POS
lynching	4	POS
carrel	2	POS
serenade	2	POS
pressly	1	POS
NOT_jalees	1	POS
alerts	1	POS
vanquish	1	POS
NOT_whining	4	POS
NOT_asking	2	POS
proponent	3	POS
fads	1	POS
NOT_angel	2	POS
NOT_anger	7	POS
sependipity	1	POS
dorset	1	POS
grayce	9	POS
uneducated	9	POS
victimization	2	POS
sexiest	12	POS
witchfinder	2	POS
cerar	1	POS
blackish	2	POS
rubberneck	1	POS
dying	148	POS
beasty	1	POS
bertanzoni	1	POS
pneumonic	10	POS
,	136221	POS
NOT_preached	1	POS
scatology	1	POS
bord	1	POS
dowager	1	POS
mendon	1	POS
NOT_streams	1	POS
jbl	5	POS
throat	37	POS
boro	4	POS
born	224	POS
bringsv	3	POS
ohhh	2	POS
masks	45	POS
estrange	1	POS
beleive	1	POS
NOT_kristy	1	POS
peculating	1	POS
chick	63	POS
chico	20	POS
wrangle	1	POS
ladylove	2	POS
scriptural	1	POS
consumptive	1	POS
seriousness	22	POS
egress	1	POS
dialongs	1	POS
unaccounted	1	POS
richar	2	POS
underestimate	2	POS
ugh	4	POS
sprinted	1	POS
ugo	2	POS
plex	1	POS
machaty	9	POS
witticism	2	POS
forts	1	POS
lookout	9	POS
paradoxical	6	POS
structurally	8	POS
reposed	1	POS
trespasser	1	POS
grrrl	1	POS
reliably	3	POS
emmerson	3	POS
NOT_gangs	1	POS
mobilized	1	POS
flamboyant	23	POS
schrab	1	POS
adulterous	11	POS
complicity	4	POS
bullfights	2	POS
fulbright	5	POS
munk	1	POS
NOT_screwed	1	POS
adolescents	8	POS
reliable	34	POS
swoozie	3	POS
NOT_utopia	1	POS
instigator	1	POS
NOT_albert	2	POS
adverse	6	POS
NOT_cushing	3	POS
edna	8	POS
piecemeal	1	POS
arsonist	1	POS
fedja	4	POS
freakish	5	POS
NOT_regarded	2	POS
iliopulos	3	POS
retirement	20	POS
puckish	1	POS
krogshoj	1	POS
ballets	2	POS
inoffensive	3	POS
title	646	POS
thunderblast	2	POS
wretched	9	POS
stereotypically	3	POS
carve	3	POS
wich	6	POS
trespassed	1	POS
expecting	198	POS
immerse	10	POS
oooooozzzzzzed	1	POS
submerged	6	POS
averted	1	POS
NOT_foxx	1	POS
dishwasher	4	POS
dept	5	POS
manigot	1	POS
unabashed	10	POS
listened	14	POS
eighties	57	POS
mothers	39	POS
herbet	1	POS
gret	1	POS
ulein	9	POS
motherf	1	POS
koaho	1	POS
NOT_fascists	1	POS
chastize	1	POS
marriage	264	POS
revenge	244	POS
rearise	1	POS
enclosed	3	POS
phillipe	2	POS
NOT_alberta	1	POS
devising	2	POS
gulagher	1	POS
raids	4	POS
increase	22	POS
gomez	24	POS
sturges	8	POS
unsatisfactory	5	POS
informant	9	POS
passengers	35	POS
NOT_entirely	62	POS
means	351	POS
garofolo	2	POS
reinvention	1	POS
shlock	1	POS
political	342	POS
NOT_medium	4	POS
bimbo	12	POS
try	659	POS
wilmer	2	POS
reconciled	3	POS
vividness	3	POS
wtse	1	POS
bynes	7	POS
byner	1	POS
levelheaded	1	POS
tre	2	POS
allowances	5	POS
tra	3	POS
shoved	9	POS
privleged	1	POS
apposed	2	POS
solicitude	1	POS
NOT_mentioning	7	POS
puny	3	POS
immune	7	POS
insincere	2	POS
declines	6	POS
rigs	2	POS
farmworker	1	POS
knoflikari	1	POS
NOT_pagans	1	POS
ravenous	5	POS
declined	10	POS
NOT_credits	19	POS
NOT_densest	1	POS
taylor	184	POS
earnestness	5	POS
glyn	3	POS
sunday	121	POS
NOT_contradicts	1	POS
cackles	1	POS
paralyzed	9	POS
flabbergasted	5	POS
entertain	73	POS
loincloth	3	POS
NOT_ounce	3	POS
pounding	14	POS
NOT_optimism	1	POS
lonette	3	POS
NOT_moment	50	POS
NOT_inquiring	1	POS
jose	41	POS
foreignness	1	POS
institutionalised	2	POS
josh	29	POS
bunuel	11	POS
reductionism	1	POS
illegal	42	POS
NOT_duty	3	POS
joss	20	POS
1876	5	POS
1870	1	POS
NOT_perfected	3	POS
mitzi	5	POS
1873	5	POS
dreads	1	POS
stanton	7	POS
NOT_scaring	1	POS
NOT_briefing	1	POS
seguin	1	POS
westside	1	POS
NOT_nerd	2	POS
willam	1	POS
intenstine	1	POS
faggot	1	POS
diplomatic	7	POS
kohler	2	POS
warfel	1	POS
responsible	121	POS
NOT_levinson	1	POS
gateshead	1	POS
accounts	28	POS
madeleine	29	POS
pigging	1	POS
schemes	21	POS
NOT_farther	2	POS
bystander	3	POS
languidly	2	POS
trended	1	POS
lamplight	1	POS
communicated	9	POS
funeral	53	POS
schade	3	POS
appalling	14	POS
catdog	1	POS
broaches	1	POS
communicates	5	POS
hottie	15	POS
cows	2	POS
portugal	14	POS
duets	8	POS
distortion	11	POS
NOT_subtleties	4	POS
brull	3	POS
segregation	5	POS
enactment	5	POS
NOT_youngster	1	POS
betterment	2	POS
pink	37	POS
abe	16	POS
NOT_profession	3	POS
abc	85	POS
NOT_comprehending	2	POS
NOT_affair	4	POS
NOT_paternalism	1	POS
pine	7	POS
mikael	2	POS
ping	9	POS
abi	1	POS
inside	319	POS
innovative	61	POS
NOT_penalties	1	POS
abu	38	POS
abs	1	POS
titillation	2	POS
kingpin	8	POS
pins	5	POS
meghna	1	POS
NOT_cage	4	POS
unalterably	1	POS
doleful	1	POS
aby	1	POS
NOT_simba	1	POS
holograms	2	POS
owns	37	POS
NOT_dates	1	POS
wannabes	7	POS
thusly	1	POS
NOT_scripting	1	POS
ardolino	5	POS
unaccpectable	1	POS
spookiness	2	POS
hiccups	1	POS
shanti	2	POS
rabbit	49	POS
NOT_dated	21	POS
associations	4	POS
spliced	7	POS
educating	6	POS
strumpet	1	POS
NOT_california	5	POS
consulted	3	POS
rubes	1	POS
susannah	10	POS
marshalls	1	POS
michele	11	POS
ruben	6	POS
managing	20	POS
leisurely	9	POS
NOT_discussed	4	POS
michell	17	POS
alloted	1	POS
rendering	22	POS
rigets	1	POS
tooled	1	POS
preoccupied	5	POS
mckellen	3	POS
NOT_grave	4	POS
protagonist	123	POS
bleary	1	POS
NOT_ended	7	POS
termination	1	POS
nonexistent	6	POS
checklist	2	POS
talosians	5	POS
NOT_shrink	1	POS
extravaganzas	4	POS
gonzales	4	POS
signal	4	POS
michaels	29	POS
gonzalez	8	POS
counterbalancing	2	POS
yakitate	5	POS
NOT_lodi	1	POS
broadway	151	POS
nationalities	4	POS
avenged	3	POS
padbury	1	POS
weww	1	POS
zeon	7	POS
negligence	2	POS
weidstraughan	1	POS
connaughton	1	POS
disputing	1	POS
NOT_waterbury	1	POS
avenges	2	POS
avenger	7	POS
romy	19	POS
priyadarshans	1	POS
nineties	25	POS
diverged	1	POS
romp	49	POS
NOT_labyrinthine	1	POS
engraved	1	POS
brigand	1	POS
slyly	4	POS
NOT_tweed	1	POS
NOT_drown	1	POS
lorne	14	POS
roma	4	POS
banquet	9	POS
rome	27	POS
NOT_throuout	1	POS
flroiane	1	POS
foxtrot	1	POS
NOT_australia	9	POS
woman	1381	POS
NOT_stunt	3	POS
lifting	6	POS
georg	4	POS
topple	4	POS
NOT_graphics	3	POS
girlie	5	POS
protocol	7	POS
oland	1	POS
rigg	5	POS
sheepskin	1	POS
NOT_quotable	1	POS
obstructive	1	POS
litteraly	1	POS
coterie	1	POS
NOT_grounding	1	POS
NOT_pleasance	1	POS
antihero	4	POS
koun	1	POS
NOT_helping	4	POS
elixirs	1	POS
afer	1	POS
archtypes	1	POS
roughnecks	1	POS
steady	44	POS
afew	1	POS
secreted	1	POS
irrevocable	2	POS
procuror	1	POS
sportswriter	3	POS
jared	30	POS
saxaphone	1	POS
hoorah	1	POS
infelicities	1	POS
incorrectness	2	POS
hamilton	71	POS
jaret	1	POS
parks	26	POS
cleanest	2	POS
husband	549	POS
endemol	1	POS
NOT_zorak	1	POS
inconveniences	1	POS
vindhyan	1	POS
movers	1	POS
visualizing	1	POS
avowedly	1	POS
NOT_inventive	3	POS
misconstrued	1	POS
jonesing	2	POS
NOT_afflict	1	POS
fumbler	1	POS
NOT_random	5	POS
suzette	1	POS
lynton	1	POS
domesticity	2	POS
disastrous	27	POS
NOT_optimistic	1	POS
catatonia	1	POS
indiscriminately	2	POS
catatonic	2	POS
extremist	3	POS
eyre	76	POS
socialize	2	POS
caddy	3	POS
tragidian	1	POS
survive	133	POS
NOT_kkk	1	POS
busia	3	POS
menzel	1	POS
german	296	POS
bakshis	2	POS
mazurki	3	POS
NOT_berry	1	POS
verikoan	1	POS
changling	2	POS
rottenest	1	POS
valley	39	POS
herds	7	POS
vallee	5	POS
lumbly	2	POS
undesirable	3	POS
precludes	1	POS
instability	4	POS
studiously	1	POS
NOT_blows	1	POS
spin	77	POS
ameliorative	1	POS
deflowering	1	POS
NOT_ghost	11	POS
penetration	1	POS
dimming	1	POS
writhing	3	POS
waitresses	1	POS
NOT_contain	12	POS
awfully	22	POS
974th	1	POS
NOT_psychological	6	POS
NOT_blown	6	POS
chumps	1	POS
NOT_waxing	2	POS
NOT_mexican	5	POS
stalk	13	POS
pyar	7	POS
NOT_sanchez	1	POS
overrationalization	1	POS
councilor	1	POS
dreama	2	POS
worth	1157	POS
flavored	1	POS
pierson	2	POS
found	1254	POS
dreamy	28	POS
splendors	2	POS
rucksack	2	POS
authenticating	1	POS
dreamt	4	POS
NOT_uninteresting	5	POS
flippers	1	POS
outsider	21	POS
NOT_aito	1	POS
breakumentarions	1	POS
primeval	3	POS
NOT_relish	2	POS
colby	6	POS
pygmies	2	POS
offering	50	POS
klansmen	1	POS
NOT_techniques	5	POS
rabbeted	2	POS
rearranging	1	POS
allah	10	POS
limit	28	POS
jeannie	1	POS
NOT_treat	12	POS
reared	2	POS
turnpoint	1	POS
NOT_willing	14	POS
valid	22	POS
syncrhronized	1	POS
froze	1	POS
ruined	64	POS
NOT_kelly	11	POS
trounced	1	POS
mummification	1	POS
15th	5	POS
beaty	1	POS
sync	14	POS
gittes	2	POS
NOT_cove	1	POS
stereotyping	9	POS
beats	51	POS
aleister	1	POS
NOT_disorders	2	POS
hindi	24	POS
NOT_robberies	1	POS
usher	12	POS
hindu	12	POS
NOT_george	13	POS
NOT_luger	1	POS
betray	10	POS
politician	39	POS
quipping	3	POS
incline	1	POS
farrely	1	POS
supper	6	POS
rules	150	POS
malaysia	1	POS
dioz	1	POS
NOT_accepting	7	POS
replicators	2	POS
rulez	1	POS
NOT_almost	21	POS
farrell	52	POS
fastened	1	POS
NOT_counting	4	POS
beineix	1	POS
NOT_tension	14	POS
NOT_buildup	2	POS
scathed	1	POS
meador	1	POS
NOT_electrifying	1	POS
dion	1	POS
motherfockers	1	POS
diol	2	POS
extra	156	POS
innocently	7	POS
NOT_predictability	2	POS
aplomb	24	POS
NOT_pillow	2	POS
lanna	1	POS
NOT_catching	3	POS
nicol	1	POS
lyduschka	2	POS
teachings	5	POS
NOT_sarandon	1	POS
oprah	14	POS
irma	1	POS
gasoline	2	POS
trickier	1	POS
letzte	1	POS
implanted	7	POS
crewman	1	POS
nutso	1	POS
scums	2	POS
193o	1	POS
babaloo	3	POS
georgian	8	POS
NOT_poignant	3	POS
NOT_cupid	1	POS
guaranteed	44	POS
streeb	1	POS
necessitating	2	POS
cashing	4	POS
NOT_dissappointed	1	POS
meander	1	POS
umpteenth	1	POS
guarantees	8	POS
streep	66	POS
genetically	5	POS
detachment	7	POS
NOT_extinct	1	POS
freak	35	POS
helpings	1	POS
hewitt	6	POS
langara	1	POS
1931	22	POS
1930	74	POS
suppose	124	POS
1932	24	POS
sherryl	1	POS
1934	44	POS
1937	21	POS
1936	59	POS
1939	58	POS
1938	27	POS
elopes	1	POS
develop	119	POS
digges	1	POS
awkward	103	POS
NOT_snide	1	POS
digged	1	POS
sherrys	1	POS
stereotypes	83	POS
dragoon	7	POS
NOT_comments	32	POS
overheated	4	POS
NOT_clods	1	POS
recycling	1	POS
dorma	2	POS
deathwatch	1	POS
setback	4	POS
misfortune	20	POS
ishoos	1	POS
terrorized	8	POS
sailors	25	POS
intransigent	1	POS
fantasyfilmfest	1	POS
NOT_anticipate	3	POS
satisfactorily	4	POS
critter	4	POS
encroachment	2	POS
barca	2	POS
dingiest	1	POS
terrorizer	1	POS
terrorizes	1	POS
eyeliner	2	POS
heaviest	1	POS
ascendancy	3	POS
NOT_reasonably	2	POS
visited	45	POS
punished	11	POS
aciton	1	POS
NOT_redefine	1	POS
nonpolitical	1	POS
arrival	60	POS
habit	27	POS
visit	161	POS
inventors	1	POS
pyrokinetics	1	POS
rethwisch	1	POS
hammett	11	POS
naughton	2	POS
abhay	27	POS
create	298	POS
vacant	6	POS
urbe	1	POS
florence	12	POS
blackjack	1	POS
siodmark	1	POS
adhered	2	POS
autism	1	POS
NOT_game	35	POS
godfather	63	POS
NOT_eager	2	POS
kellerman	11	POS
adheres	4	POS
diomede	1	POS
rada	1	POS
interests	48	POS
edwedge	1	POS
dobkin	2	POS
equivalents	2	POS
outputs	1	POS
extinguished	1	POS
chomiak	2	POS
deluxe	6	POS
webster	14	POS
suprisingly	2	POS
extinguisher	3	POS
superstition	4	POS
insolence	1	POS
NOT_friendliest	1	POS
hass	1	POS
NOT_aloft	1	POS
nurture	3	POS
NOT_cheaply	1	POS
sympathy	76	POS
analog	2	POS
gidget	2	POS
sigur	2	POS
hash	7	POS
ramped	1	POS
hasn	2	POS
communicating	6	POS
normandy	1	POS
ni	7	POS
no	4474	POS
nl	2	POS
nb	4	POS
nc	7	POS
jiggly	1	POS
na	21	POS
schapelle	1	POS
ng	1	POS
nd	2	POS
ne	22	POS
nz	4	POS
NOT_gaelic	1	POS
nx	4	POS
ny	26	POS
beverley	2	POS
nr	1	POS
ns	1	POS
NOT_nudging	1	POS
NOT_hollywod	1	POS
nu	2	POS
mocks	6	POS
thrills	59	POS
scooter	10	POS
pathetic	60	POS
entwined	5	POS
NOT_prizes	1	POS
fielder	3	POS
elsewheres	1	POS
sophy	1	POS
groggy	2	POS
NOT_conducive	2	POS
NOT_suggested	1	POS
entwines	1	POS
submissive	4	POS
surmise	1	POS
supporters	25	POS
investigate	51	POS
schulm	1	POS
watercolor	1	POS
blackadders	1	POS
NOT_zero	3	POS
jansen	10	POS
chu	18	POS
astronomical	4	POS
pragmatically	3	POS
director	1949	POS
NOT_unreal	3	POS
NOT_brisk	1	POS
NOT_previous	31	POS
sociable	1	POS
subjugating	1	POS
elijah	10	POS
dauphine	7	POS
always	1910	POS
instruct	4	POS
campions	1	POS
policeman	43	POS
peanuts	8	POS
negates	1	POS
destructive	33	POS
metaphysical	17	POS
NOT_krishna	2	POS
mountie	1	POS
krimis	1	POS
contents	15	POS
downriver	1	POS
enthralled	23	POS
NOT_yearn	1	POS
dink	1	POS
didgeridoo	1	POS
spray	14	POS
unfortenately	1	POS
flashback	87	POS
NOT_anette	1	POS
NOT_activity	1	POS
aragorn	17	POS
timsit	1	POS
commendably	1	POS
vibrations	1	POS
discoveries	7	POS
debauched	2	POS
menahem	1	POS
munnabhai	1	POS
seasoned	33	POS
NOT_years	147	POS
basketball	32	POS
wrenchmuller	2	POS
NOT_parallax	1	POS
transcended	2	POS
beaux	3	POS
hessian	1	POS
grete	2	POS
NOT_hoots	1	POS
automatically	21	POS
guaging	1	POS
hohum	1	POS
teardrop	1	POS
NOT_sketch	1	POS
stanis	1	POS
dartmouth	2	POS
haphazard	3	POS
including	619	POS
dougray	1	POS
fades	13	POS
smog	3	POS
trot	5	POS
gaudy	7	POS
ernie	33	POS
dafoe	9	POS
insinuates	3	POS
reincarnated	6	POS
NOT_giggle	2	POS
rearrange	1	POS
tron	1	POS
troi	2	POS
blackfoot	2	POS
NOT_chillness	1	POS
whitmore	4	POS
trod	3	POS
NOT_negatively	1	POS
NOT_grows	1	POS
cutesy	7	POS
figurines	3	POS
NOT_yojimbo	1	POS
gamin	2	POS
lebrun	9	POS
slevin	1	POS
talkiest	2	POS
NOT_world	118	POS
minnelli	41	POS
cautionary	7	POS
jasmin	1	POS
dimensions	14	POS
seawater	1	POS
badd	1	POS
antipodes	1	POS
infantile	4	POS
thirsty	10	POS
veering	3	POS
paintings	48	POS
respective	46	POS
NOT_untrue	1	POS
NOT_browning	1	POS
reminiscence	1	POS
pals	18	POS
entrant	1	POS
mediator	1	POS
rebours	1	POS
cavalcades	1	POS
palo	1	POS
dins	1	POS
palm	19	POS
pall	3	POS
kolton	1	POS
caribbean	13	POS
hebetude	2	POS
subjected	21	POS
july	36	POS
cloned	1	POS
bosley	2	POS
parrying	1	POS
yesser	2	POS
salmon	1	POS
NOT_mnd	1	POS
thoughtlessness	2	POS
ozu	3	POS
roses	20	POS
magick	2	POS
casevettes	1	POS
rosey	1	POS
hupping	1	POS
NOT_mops	1	POS
corneau	6	POS
justi	1	POS
lonnen	2	POS
outdid	5	POS
temperamental	9	POS
NOT_up	432	POS
NOT_us	147	POS
revives	1	POS
mcmanus	3	POS
NOT_thugs	2	POS
mcaffe	1	POS
NOT_pfeiffer	1	POS
revived	9	POS
mississipi	1	POS
NOT_queenie	1	POS
keeling	1	POS
NOT_un	3	POS
heartbroken	12	POS
NOT_uk	7	POS
NOT_translator	1	POS
boozy	2	POS
catwalk	5	POS
orphan	33	POS
irretrievably	2	POS
NOT_spun	1	POS
jacko	2	POS
animatrix	4	POS
bumper	6	POS
¶	31	POS
mangini	1	POS
NOT_spur	1	POS
broads	1	POS
delay	6	POS
booze	9	POS
NOT_horrible	19	POS
juli	4	POS
koechner	1	POS
tima	1	POS
serbia	5	POS
seemingly	164	POS
timm	4	POS
leftovers	1	POS
spaceballs	5	POS
coercible	1	POS
NOT_martin	2	POS
gatling	1	POS
NOT_sequels	5	POS
rychard	1	POS
directional	1	POS
romance	407	POS
NOT_lovely	8	POS
NOT_manhating	1	POS
critcism	1	POS
explosive	30	POS
compels	5	POS
camera	689	POS
abreast	1	POS
antlers	2	POS
abduction	8	POS
NOT_disappears	1	POS
NOT_ratso	2	POS
publics	2	POS
stoppingly	1	POS
boogaloo	1	POS
academia	1	POS
cider	2	POS
academic	8	POS
NOT_cunningham	1	POS
altitude	5	POS
feisty	17	POS
prenez	1	POS
NOT_renee	1	POS
NOT_inevitably	2	POS
oradour	1	POS
cliffs	8	POS
orders	48	POS
furtado	1	POS
zaitochi	1	POS
deirdre	2	POS
powder	7	POS
interact	35	POS
NOT_misty	2	POS
NOT_renew	1	POS
borradaile	1	POS
meanings	19	POS
supurb	2	POS
flaming	6	POS
artem	1	POS
branscombe	1	POS
NOT_forgotten	27	POS
vendetta	9	POS
junkies	8	POS
offenses	1	POS
ulrike	1	POS
tobei	1	POS
customised	2	POS
tripp	2	POS
gravy	3	POS
trips	17	POS
azam	1	POS
swerves	1	POS
assylum	1	POS
margheriti	10	POS
revels	5	POS
floppy	2	POS
swerved	1	POS
garia	1	POS
tripe	5	POS
mufti	1	POS
sharon	46	POS
tobin	5	POS
cuddle	4	POS
levelheadedness	1	POS
roulette	5	POS
suburbs	17	POS
sentenced	25	POS
assaulting	5	POS
enright	2	POS
roughly	24	POS
diapers	1	POS
changdong	1	POS
NOT_delights	2	POS
incensed	2	POS
sentences	14	POS
blonder	3	POS
NOT_trigger	3	POS
cortez	23	POS
wield	2	POS
NOT_55	1	POS
changeable	1	POS
hjejle	1	POS
cortes	1	POS
NOT_output	1	POS
extraterrestrial	3	POS
tacit	1	POS
NOT_muriel	2	POS
NOT_transporting	1	POS
pincers	1	POS
bugsy	3	POS
lommel	5	POS
maricarmen	3	POS
NOT_lacked	1	POS
lacquered	1	POS
auctioned	1	POS
goodluck	1	POS
NOT_thanks	1	POS
sally	77	POS
leila	2	POS
wobbly	5	POS
placate	2	POS
franz	14	POS
reiju	1	POS
salli	1	POS
franc	2	POS
focal	6	POS
suiters	1	POS
frank	305	POS
reeking	1	POS
equator	1	POS
NOT_conceived	1	POS
atrice	1	POS
pitfalls	11	POS
agents	37	POS
subordinates	3	POS
columbus	4	POS
dishum	2	POS
anita	28	POS
clackity	1	POS
penislized	1	POS
dunston	1	POS
pirate	42	POS
NOT_librarian	1	POS
kills	199	POS
paradigm	7	POS
memorialized	1	POS
hazel	14	POS
melendez	2	POS
underemployed	2	POS
NOT_nj	1	POS
prone	20	POS
prison	265	POS
prettier	8	POS
NOT_pam	1	POS
huorns	1	POS
jiminy	3	POS
kerry	19	POS
sedaris	2	POS
NOT_assure	2	POS
NOT_laundry	1	POS
piscipo	1	POS
70mm	2	POS
sheila	17	POS
sakura	5	POS
pryce	3	POS
fraculater	1	POS
crimefighting	1	POS
NOT_bombarded	1	POS
conditioned	11	POS
idleness	1	POS
dalai	3	POS
frederick	9	POS
dalal	1	POS
itallian	1	POS
incinerating	1	POS
whitaker	9	POS
restarts	1	POS
NOT_maradona	1	POS
bryanston	2	POS
westchester	3	POS
golino	2	POS
hecq	1	POS
heck	80	POS
cundeif	1	POS
ruas	1	POS
byzantine	1	POS
drapes	1	POS
bo	37	POS
NOT_logan	1	POS
bj	2	POS
ratcatcher	1	POS
agusti	3	POS
subject	357	POS
bd	1	POS
be	10637	POS
bb	1	POS
bc	6	POS
ba	2	POS
NOT_gritty	1	POS
NOT_resonate	1	POS
by	11417	POS
bw	1	POS
reopen	2	POS
br	49236	POS
bs	6	POS
bp	2	POS
hsiao	8	POS
contestants	26	POS
smart	215	POS
kiel	4	POS
tira	3	POS
passionless	2	POS
turnip	1	POS
pheobe	2	POS
informants	2	POS
imaginable	25	POS
braided	1	POS
elite	32	POS
imaginably	1	POS
maxx	9	POS
seniors	1	POS
phillippe	3	POS
sneakers	3	POS
kier	6	POS
smarm	1	POS
goaded	2	POS
NOT_government	6	POS
frustration	54	POS
NOT_90s	7	POS
NOT_mutilation	1	POS
NOT_spilling	1	POS
bedroom	52	POS
cronies	8	POS
rivalling	1	POS
quoters	1	POS
lobe	1	POS
butchering	5	POS
NOT_detriment	2	POS
magnoli	1	POS
minnesota	4	POS
NOT_girls	15	POS
verdi	4	POS
pakistan	8	POS
clotheslining	1	POS
verde	1	POS
b4	1	POS
b5	2	POS
javier	4	POS
sandrine	1	POS
abstraction	4	POS
motown	1	POS
bowery	10	POS
assure	22	POS
seond	1	POS
habitants	1	POS
lufft	1	POS
NOT_portrayals	1	POS
abbots	2	POS
fallon	31	POS
firsts	1	POS
roasted	1	POS
hour	377	POS
princeton	7	POS
tallest	1	POS
NOT_jurors	1	POS
lancashire	1	POS
recited	2	POS
NOT_clash	2	POS
NOT_boring	42	POS
NOT_coleseum	1	POS
asthma	4	POS
expert	82	POS
heather	6	POS
reviewers	104	POS
recites	2	POS
NOT_scaffolding	1	POS
pufnstuff	2	POS
disoriented	3	POS
constructor	1	POS
NOT_pierce	2	POS
NOT_class	24	POS
NOT_recapitulate	1	POS
comprehended	1	POS
kinlaw	1	POS
NOT_alice	1	POS
schramm	1	POS
waltz	8	POS
faves	6	POS
NOT_cheezy	1	POS
raposo	3	POS
popkin	1	POS
speech	92	POS
exaggerations	6	POS
adopted	38	POS
lugubrious	3	POS
iconoclast	2	POS
NOT_expend	1	POS
groult	1	POS
lensky	1	POS
richter	7	POS
indefinitely	1	POS
gauged	1	POS
collective	23	POS
clarified	2	POS
rapyuta	1	POS
chopra	9	POS
rudolph	5	POS
principally	8	POS
resurfaces	2	POS
NOT_laughs	15	POS
clarifies	1	POS
resurfaced	1	POS
picher	1	POS
ameche	10	POS
mastrontonio	1	POS
stylisation	1	POS
NOT_ghastly	1	POS
torso	13	POS
NOT_consist	2	POS
dictature	1	POS
mythically	1	POS
scrubbed	1	POS
kundry	8	POS
posts	11	POS
occurs	74	POS
brendon	3	POS
dyke	27	POS
balraj	1	POS
anupamji	1	POS
eat	99	POS
NOT_potter	1	POS
compress	3	POS
shamelessly	12	POS
wanda	11	POS
flick	417	POS
NOT_teaching	1	POS
wry	22	POS
happpy	1	POS
nacho	10	POS
nachi	1	POS
greetings	14	POS
tracy	103	POS
batista	18	POS
aways	4	POS
cobblepot	1	POS
adrienne	8	POS
NOT_pitch	3	POS
milan	7	POS
tract	5	POS
NOT_gwynne	1	POS
NOT_trashy	2	POS
reconsiders	2	POS
track	191	POS
NOT_gamut	1	POS
sobers	1	POS
tonality	1	POS
NOT_censor	1	POS
trace	16	POS
‚	1	POS
undefined	2	POS
disco	22	POS
NOT_critic	15	POS
carried	81	POS
shorten	1	POS
accurately	35	POS
poncho	2	POS
physiologically	1	POS
NOT_currents	1	POS
artistes	1	POS
sellout	2	POS
orisha	1	POS
carries	116	POS
carrier	13	POS
pineyro	1	POS
shorter	31	POS
caribean	1	POS
discs	14	POS
bratty	3	POS
wahoo	1	POS
haines	49	POS
enables	15	POS
paging	2	POS
perpetual	11	POS
gandhiji	3	POS
NOT_dinosaurs	2	POS
hainey	1	POS
solder	1	POS
ambitions	28	POS
gough	10	POS
closure	24	POS
childhoods	3	POS
tawny	1	POS
enabled	11	POS
reworking	9	POS
contemplated	3	POS
subtlely	1	POS
arthor	1	POS
vraiment	1	POS
